u,V,r_x,r_y,r_z
-0.9,-0.85,-0.9,-0.85,-0.790194
-0.893359,-0.850201,-0.893359,-0.850201,-0.751398
-0.886719,-0.850402,-0.886719,-0.850402,-0.713447
-0.880078,-0.850603,-0.880078,-0.850603,-0.676327
-0.873437,-0.850804,-0.873437,-0.850804,-0.640027
-0.866797,-0.851005,-0.866797,-0.851005,-0.604534
-0.860156,-0.851207,-0.860156,-0.851207,-0.569835
-0.853516,-0.851408,-0.853516,-0.851408,-0.535919
-0.846875,-0.851609,-0.846875,-0.851609,-0.502774
-0.840234,-0.85181,-0.840234,-0.85181,-0.470387
-0.833594,-0.852012,-0.833594,-0.852012,-0.438747
-0.826953,-0.852213,-0.826953,-0.852213,-0.407842
-0.820312,-0.852414,-0.820312,-0.852414,-0.377661
-0.813672,-0.852616,-0.813672,-0.852616,-0.348191
-0.807031,-0.852817,-0.807031,-0.852817,-0.319421
-0.800391,-0.853018,-0.800391,-0.853018,-0.291341
-0.79375,-0.85322,-0.79375,-0.85322,-0.263938
-0.787109,-0.853421,-0.787109,-0.853421,-0.237201
-0.780469,-0.853623,-0.780469,-0.853623,-0.21112
-0.773828,-0.853824,-0.773828,-0.853824,-0.185683
-0.767188,-0.854026,-0.767188,-0.854026,-0.160879
-0.760547,-0.854227,-0.760547,-0.854227,-0.136697
-0.753906,-0.854429,-0.753906,-0.854429,-0.113128
-0.747266,-0.854631,-0.747266,-0.854631,-0.0901595
-0.740625,-0.854832,-0.740625,-0.854832,-0.0677817
-0.733984,-0.855034,-0.733984,-0.855034,-0.045984
-0.727344,-0.855236,-0.727344,-0.855236,-0.0247561
-0.720703,-0.855437,-0.720703,-0.855437,-0.00408763
-0.714063,-0.855639,-0.714063,-0.855639,0.0160315
-0.707422,-0.855841,-0.707422,-0.855841,0.0356114
-0.700781,-0.856043,-0.700781,-0.856043,0.0546621
-0.694141,-0.856245,-0.694141,-0.856245,0.0731934
-0.6875,-0.856446,-0.6875,-0.856446,0.0912152
-0.680859,-0.856648,-0.680859,-0.856648,0.108737
-0.674219,-0.85685,-0.674219,-0.85685,0.125769
-0.667578,-0.857052,-0.667578,-0.857052,0.14232
-0.660937,-0.857254,-0.660937,-0.857254,0.1584
-0.654297,-0.857456,-0.654297,-0.857456,0.174017
-0.647656,-0.857658,-0.647656,-0.857658,0.189182
-0.641016,-0.85786,-0.641016,-0.85786,0.203904
-0.634375,-0.858062,-0.634375,-0.858062,0.218191
-0.627734,-0.858264,-0.627734,-0.858264,0.232053
-0.621094,-0.858466,-0.621094,-0.858466,0.245497
-0.614453,-0.858668,-0.614453,-0.858668,0.258534
-0.607812,-0.85887,-0.607812,-0.85887,0.271172
-0.601172,-0.859072,-0.601172,-0.859072,0.283419
-0.594531,-0.859274,-0.594531,-0.859274,0.295284
-0.587891,-0.859476,-0.587891,-0.859476,0.306775
-0.58125,-0.859677,-0.58125,-0.859677,0.317901
-0.574609,-0.859879,-0.574609,-0.859879,0.328669
-0.567969,-0.860081,-0.567969,-0.860081,0.339089
-0.561328,-0.860283,-0.561328,-0.860283,0.349167
-0.554688,-0.860485,-0.554688,-0.860485,0.358912
-0.548047,-0.860687,-0.548047,-0.860687,0.368332
-0.541406,-0.860889,-0.541406,-0.860889,0.377434
-0.534766,-0.861091,-0.534766,-0.861091,0.386226
-0.528125,-0.861293,-0.528125,-0.861293,0.394716
-0.521484,-0.861495,-0.521484,-0.861495,0.402911
-0.514844,-0.861696,-0.514844,-0.861696,0.410819
-0.508203,-0.861898,-0.508203,-0.861898,0.418446
-0.501562,-0.8621,-0.501562,-0.8621,0.4258
-0.494922,-0.862301,-0.494922,-0.862301,0.432888
-0.488281,-0.862503,-0.488281,-0.862503,0.439718
-0.481641,-0.862705,-0.481641,-0.862705,0.446295
-0.475,-0.862906,-0.475,-0.862906,0.452627
-0.468359,-0.863108,-0.468359,-0.863108,0.45872
-0.461719,-0.863309,-0.461719,-0.863309,0.464581
-0.455078,-0.863511,-0.455078,-0.863511,0.470217
-0.448437,-0.863712,-0.448437,-0.863712,0.475634
-0.441797,-0.863913,-0.441797,-0.863913,0.480839
-0.435156,-0.864115,-0.435156,-0.864115,0.485837
-0.428516,-0.864316,-0.428516,-0.864316,0.490635
-0.421875,-0.864517,-0.421875,-0.864517,0.495239
-0.415234,-0.864718,-0.415234,-0.864718,0.499654
-0.408594,-0.864919,-0.408594,-0.864919,0.503888
-0.401953,-0.86512,-0.401953,-0.86512,0.507944
-0.395312,-0.865321,-0.395312,-0.865321,0.51183
-0.388672,-0.865522,-0.388672,-0.865522,0.515551
-0.382031,-0.865723,-0.382031,-0.865723,0.519112
-0.375391,-0.865923,-0.375391,-0.865923,0.522519
-0.36875,-0.866124,-0.36875,-0.866124,0.525777
-0.362109,-0.866324,-0.362109,-0.866324,0.528891
-0.355469,-0.866525,-0.355469,-0.866525,0.531866
-0.348828,-0.866725,-0.348828,-0.866725,0.534708
-0.342187,-0.866926,-0.342187,-0.866926,0.537421
-0.335547,-0.867126,-0.335547,-0.867126,0.54001
-0.328906,-0.867326,-0.328906,-0.867326,0.542481
-0.322266,-0.867526,-0.322266,-0.867526,0.544837
-0.315625,-0.867726,-0.315625,-0.867726,0.547083
-0.308984,-0.867926,-0.308984,-0.867926,0.549224
-0.302344,-0.868126,-0.302344,-0.868126,0.551264
-0.295703,-0.868325,-0.295703,-0.868325,0.553207
-0.289062,-0.868525,-0.289062,-0.868525,0.555058
-0.282422,-0.868724,-0.282422,-0.868724,0.556821
-0.275781,-0.868924,-0.275781,-0.868924,0.558499
-0.269141,-0.869123,-0.269141,-0.869123,0.560097
-0.2625,-0.869322,-0.2625,-0.869322,0.561618
-0.255859,-0.869521,-0.255859,-0.869521,0.563067
-0.249219,-0.86972,-0.249219,-0.86972,0.564446
-0.242578,-0.869919,-0.242578,-0.869919,0.56576
-0.235937,-0.870118,-0.235937,-0.870118,0.567011
-0.229297,-0.870317,-0.229297,-0.870317,0.568204
-0.222656,-0.870516,-0.222656,-0.870516,0.569341
-0.216016,-0.870714,-0.216016,-0.870714,0.570426
-0.209375,-0.870912,-0.209375,-0.870912,0.571461
-0.202734,-0.871111,-0.202734,-0.871111,0.57245
-0.196094,-0.871309,-0.196094,-0.871309,0.573396
-0.189453,-0.871507,-0.189453,-0.871507,0.574301
-0.182812,-0.871705,-0.182812,-0.871705,0.575168
-0.176172,-0.871903,-0.176172,-0.871903,0.576
-0.169531,-0.872101,-0.169531,-0.872101,0.576799
-0.162891,-0.872298,-0.162891,-0.872298,0.577568
-0.15625,-0.872496,-0.15625,-0.872496,0.578308
-0.149609,-0.872693,-0.149609,-0.872693,0.579023
-0.142969,-0.872891,-0.142969,-0.872891,0.579714
-0.136328,-0.873088,-0.136328,-0.873088,0.580384
-0.129687,-0.873285,-0.129687,-0.873285,0.581034
-0.123047,-0.873482,-0.123047,-0.873482,0.581666
-0.116406,-0.873679,-0.116406,-0.873679,0.582282
-0.109766,-0.873876,-0.109766,-0.873876,0.582884
-0.103125,-0.874072,-0.103125,-0.874072,0.583474
-0.0964844,-0.874269,-0.0964844,-0.874269,0.584052
-0.0898437,-0.874465,-0.0898437,-0.874465,0.58462
-0.0832031,-0.874662,-0.0832031,-0.874662,0.58518
-0.0765625,-0.874858,-0.0765625,-0.874858,0.585732
-0.0699219,-0.875054,-0.0699219,-0.875054,0.586279
-0.0632812,-0.87525,-0.0632812,-0.87525,0.58682
-0.0566406,-0.875446,-0.0566406,-0.875446,0.587357
-0.05,-0.875642,-0.05,-0.875642,0.58789
-0.0433594,-0.875837,-0.0433594,-0.875837,0.588421
-0.0367187,-0.876033,-0.0367187,-0.876033,0.58895
-0.0300781,-0.876228,-0.0300781,-0.876228,0.589478
-0.0234375,-0.876423,-0.0234375,-0.876423,0.590005
-0.0167969,-0.876619,-0.0167969,-0.876619,0.590531
-0.0101562,-0.876814,-0.0101562,-0.876814,0.591057
-0.00351562,-0.877009,-0.00351562,-0.877009,0.591583
0.003125,-0.877204,0.003125,-0.877204,0.592109
0.00976563,-0.877398,0.00976563,-0.877398,0.592635
0.0164063,-0.877593,0.0164063,-0.877593,0.593161
0.0230469,-0.877787,0.0230469,-0.877787,0.593686
0.0296875,-0.877982,0.0296875,-0.877982,0.594211
0.0363281,-0.878176,0.0363281,-0.878176,0.594735
0.0429688,-0.87837,0.0429688,-0.87837,0.595258
0.0496094,-0.878564,0.0496094,-0.878564,0.595779
0.05625,-0.878758,0.05625,-0.878758,0.596297
0.0628906,-0.878952,0.0628906,-0.878952,0.596812
0.0695313,-0.879146,0.0695313,-0.879146,0.597323
0.0761719,-0.879339,0.0761719,-0.879339,0.597829
0.0828125,-0.879533,0.0828125,-0.879533,0.598329
0.0894531,-0.879726,0.0894531,-0.879726,0.598821
0.0960938,-0.879919,0.0960938,-0.879919,0.599305
0.102734,-0.880113,0.102734,-0.880113,0.599779
0.109375,-0.880306,0.109375,-0.880306,0.600243
0.116016,-0.880499,0.116016,-0.880499,0.600693
0.122656,-0.880691,0.122656,-0.880691,0.601129
0.129297,-0.880884,0.129297,-0.880884,0.60155
0.135938,-0.881077,0.135938,-0.881077,0.601953
0.142578,-0.881269,0.142578,-0.881269,0.602336
0.149219,-0.881462,0.149219,-0.881462,0.602698
0.155859,-0.881654,0.155859,-0.881654,0.603036
0.1625,-0.881846,0.1625,-0.881846,0.603349
0.169141,-0.882038,0.169141,-0.882038,0.603634
0.175781,-0.88223,0.175781,-0.88223,0.603888
0.182422,-0.882422,0.182422,-0.882422,0.60411
0.189063,-0.882614,0.189063,-0.882614,0.604297
0.195703,-0.882806,0.195703,-0.882806,0.604446
0.202344,-0.882997,0.202344,-0.882997,0.604554
0.208984,-0.883189,0.208984,-0.883189,0.60462
0.215625,-0.88338,0.215625,-0.88338,0.604639
0.222266,-0.883571,0.222266,-0.883571,0.604609
0.228906,-0.883763,0.228906,-0.883763,0.604526
0.235547,-0.883954,0.235547,-0.883954,0.604389
0.242188,-0.884145,0.242188,-0.884145,0.604192
0.248828,-0.884336,0.248828,-0.884336,0.603934
0.255469,-0.884526,0.255469,-0.884526,0.60361
0.262109,-0.884717,0.262109,-0.884717,0.603218
0.26875,-0.884908,0.26875,-0.884908,0.602752
0.275391,-0.885098,0.275391,-0.885098,0.602211
0.282031,-0.885289,0.282031,-0.885289,0.601589
0.288672,-0.885479,0.288672,-0.885479,0.600883
0.295313,-0.885669,0.295313,-0.885669,0.600089
0.301953,-0.88586,0.301953,-0.88586,0.599202
0.308594,-0.88605,0.308594,-0.88605,0.59822
0.315234,-0.88624,0.315234,-0.88624,0.597136
0.321875,-0.88643,0.321875,-0.88643,0.595948
0.328516,-0.88662,0.328516,-0.88662,0.59465
0.335156,-0.88681,0.335156,-0.88681,0.593238
0.341797,-0.886999,0.341797,-0.886999,0.591707
0.348438,-0.887189,0.348438,-0.887189,0.590053
0.355078,-0.887378,0.355078,-0.887378,0.58827
0.361719,-0.887568,0.361719,-0.887568,0.586354
0.368359,-0.887757,0.368359,-0.887757,0.5843
0.375,-0.887947,0.375,-0.887947,0.582102
0.381641,-0.888136,0.381641,-0.888136,0.579755
0.388281,-0.888325,0.388281,-0.888325,0.577255
0.394922,-0.888515,0.394922,-0.888515,0.574595
0.401563,-0.888704,0.401563,-0.888704,0.57177
0.408203,-0.888893,0.408203,-0.888893,0.568775
0.414844,-0.889082,0.414844,-0.889082,0.565603
0.421484,-0.889271,0.421484,-0.889271,0.56225
0.428125,-0.88946,0.428125,-0.88946,0.558709
0.434766,-0.889648,0.434766,-0.889648,0.554973
0.441406,-0.889837,0.441406,-0.889837,0.551038
0.448047,-0.890026,0.448047,-0.890026,0.546897
0.454688,-0.890214,0.454688,-0.890214,0.542544
0.461328,-0.890403,0.461328,-0.890403,0.537972
0.467969,-0.890592,0.467969,-0.890592,0.533175
0.474609,-0.89078,0.474609,-0.89078,0.528147
0.48125,-0.890969,0.48125,-0.890969,0.52288
0.487891,-0.891157,0.487891,-0.891157,0.517368
0.494531,-0.891346,0.494531,-0.891346,0.511605
0.501172,-0.891534,0.501172,-0.891534,0.505583
0.507813,-0.891722,0.507813,-0.891722,0.499296
0.514453,-0.891911,0.514453,-0.891911,0.492735
0.521094,-0.892099,0.521094,-0.892099,0.485895
0.527734,-0.892287,0.527734,-0.892287,0.478768
0.534375,-0.892475,0.534375,-0.892475,0.471346
0.541016,-0.892663,0.541016,-0.892663,0.463623
0.547656,-0.892852,0.547656,-0.892852,0.45559
0.554297,-0.89304,0.554297,-0.89304,0.447239
0.560938,-0.893228,0.560938,-0.893228,0.438564
0.567578,-0.893416,0.567578,-0.893416,0.429556
0.574219,-0.893604,0.574219,-0.893604,0.420207
0.580859,-0.893792,0.580859,-0.893792,0.41051
0.5875,-0.89398,0.5875,-0.89398,0.400456
0.594141,-0.894168,0.594141,-0.894168,0.390037
0.600781,-0.894356,0.600781,-0.894356,0.379245
0.607422,-0.894544,0.607422,-0.894544,0.36807
0.614063,-0.894732,0.614063,-0.894732,0.356506
0.620703,-0.89492,0.620703,-0.89492,0.344543
0.627344,-0.895108,0.627344,-0.895108,0.332173
0.633984,-0.895296,0.633984,-0.895296,0.319386
0.640625,-0.895484,0.640625,-0.895484,0.306174
0.647266,-0.895672,0.647266,-0.895672,0.292529
0.653906,-0.89586,0.653906,-0.89586,0.27844
0.660547,-0.896049,0.660547,-0.896049,0.263899
0.667188,-0.896237,0.667188,-0.896237,0.248897
0.673828,-0.896425,0.673828,-0.896425,0.233424
0.680469,-0.896613,0.680469,-0.896613,0.21747
0.687109,-0.896801,0.687109,-0.896801,0.201027
0.69375,-0.896989,0.69375,-0.896989,0.184085
0.700391,-0.897177,0.700391,-0.897177,0.166634
0.707031,-0.897365,0.707031,-0.897365,0.148663
0.713672,-0.897553,0.713672,-0.897553,0.130165
0.720313,-0.897741,0.720313,-0.897741,0.111127
0.726953,-0.897929,0.726953,-0.897929,0.0915409
0.733594,-0.898117,0.733594,-0.898117,0.0713957
0.740234,-0.898306,0.740234,-0.898306,0.0506814
0.746875,-0.898494,0.746875,-0.898494,0.0293876
0.753516,-0.898682,0.753516,-0.898682,0.00750372
0.760156,-0.89887,0.760156,-0.89887,-0.0149806
0.766797,-0.899058,0.766797,-0.899058,-0.0380762
0.773438,-0.899247,0.773438,-0.899247,-0.0617936
0.780078,-0.899435,0.780078,-0.899435,-0.0861437
0.786719,-0.899623,0.786719,-0.899623,-0.111137
0.793359,-0.899812,0.793359,-0.899812,-0.136786
0.8,-0.9,0.8,-0.9,-0.1631
